year,rank,list_type,hotel_name_as_listed,city_as_listed,country_as_listed,classification,reason,country_in_catalogue,candidate_hotel_code,candidate_hotel_name,candidate_score
2025,57,extended_51_100,Hotel du Cap-Eden-Roc,Antibes,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,58,extended_51_100,Four Seasons at The Surf Club,Surfside,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,60,extended_51_100,Dusit Thani Bangkok,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,61,extended_51_100,Aman New York,New York,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,62,extended_51_100,Rosewood Bangkok,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,64,extended_51_100,The Carlyle,New York,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,65,extended_51_100,The Beverly Hills Hotel,Los Angeles,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,67,extended_51_100,Montage Los Cabos,Cabo San Lucas,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,68,extended_51_100,San Ysidro Ranch,Santa Barbara,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,69,extended_51_100,Southern Ocean Lodge,Kangaroo Island,Australia,UNMATCHED,"Country 'Australia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,70,extended_51_100,The Siam,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,72,extended_51_100,Hotel Cipriani,Venice,Italy,UNMATCHED,"Distinct from catalogue's ""Casa Cipriani Milano"" (hotel_406, Milan) - same hospitality group, different property/city. Direct catalogue search for ""Cipriani"" confirms no Venice entry exists.",True,hotel_406,Casa Cipriani Milano,1.0
2025,73,extended_51_100,Mount Nelson,Cape Town,South Africa,UNMATCHED,"Country 'South Africa' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,75,extended_51_100,The Fifth Avenue Hotel,New York,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,76,extended_51_100,Hotel das Cataratas,Iguassu Falls,Brazil,UNMATCHED,"Brazil has exactly 1 catalogue hotel (Copacabana Palace, Rio de Janeiro) - different city, not present.",True,hotel_195,"Copacabana Palace, A Belmond Hotel, Rio de Janeiro",0.269
2025,77,extended_51_100,The Greenwich Hotel,New York,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,78,extended_51_100,Gleneagles,Auchterarder,Scotland,UNMATCHED,"Country 'Scotland' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,80,extended_51_100,Plaza Athénée,Paris,France,UNMATCHED,"Country 'France' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,84,extended_51_100,Six Senses Zighy Bay,Zighy Bay,Oman,UNMATCHED,"Country 'Oman' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,85,extended_51_100,The Datai,Langkawi,Malaysia,UNMATCHED,"Country 'Malaysia' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,86,extended_51_100,Four Seasons Hong Kong,Hong Kong,Hong Kong,UNMATCHED,"Country 'Hong Kong' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,87,extended_51_100,Palacio Nazarenas,Cusco,Peru,UNMATCHED,"Country 'Peru' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,88,extended_51_100,Huka Lodge,Taupō,New Zealand,UNMATCHED,"Country 'New Zealand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,89,extended_51_100,Ett Hem,Stockholm,Sweden,UNMATCHED,"Country 'Sweden' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,90,extended_51_100,Eden Rock,St. Barths,St. Barthélemy,UNMATCHED,"Country 'St. Barthélemy' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,91,extended_51_100,Suján Jawai,Jawai,India,UNMATCHED,"Country 'India' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,92,extended_51_100,Soneva Secret,Maldives,Maldives,UNMATCHED,"Country 'Maldives' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,93,extended_51_100,The Johri,Jaipur,India,UNMATCHED,"Country 'India' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,95,extended_51_100,Rosewood Mayakoba,Playa del Carmen,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,96,extended_51_100,Maçakızı,Bodrum,Turkey,UNMATCHED,"Country 'Turkey' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,97,extended_51_100,Amangalla,Galle,Sri Lanka,UNMATCHED,"Country 'Sri Lanka' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,98,extended_51_100,Amangiri,Canyon Point,USA,UNMATCHED,"Country 'USA' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2025,100,extended_51_100,Amanbagh,Ajabgarh,India,UNMATCHED,"Country 'India' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
